"Data","PM10"
"05/27/2019","20"
"05/28/2019","28"
"05/29/2019","18"
"05/30/2019","24"
"05/31/2019","15"
"06/01/2019","12"
"06/02/2019","8"
"06/03/2019","15"
"06/04/2019","16"
"06/05/2019","17"
"06/06/2019","20"
"06/07/2019","19"
"06/08/2019","17"
"06/09/2019","10"
"06/10/2019","18"
"06/11/2019","21"
"06/12/2019","10"
"06/13/2019","15"
"06/14/2019","21"
"06/15/2019","10"
"06/16/2019","9"
"06/17/2019","12"
"06/18/2019","14"
"06/19/2019","17"
"06/20/2019","19"
"06/21/2019","25"
"06/22/2019","17"
"06/23/2019","21"
"06/24/2019","27"
"06/25/2019","28"
"06/26/2019","26"
"06/27/2019","44"
"06/28/2019","75"
"06/29/2019","51"
"06/30/2019","30"
"07/01/2019","28"
"07/02/2019","28"
"07/03/2019","57"
"07/04/2019","54"
"07/05/2019","63"
"07/06/2019","35"
"07/07/2019","50"
"07/08/2019","46"
"07/09/2019","48"
"07/10/2019","20"
"07/11/2019","19"
"07/12/2019","14"
"07/13/2019","15"
"07/14/2019","13"
"07/15/2019","13"
"07/16/2019","12"
"07/17/2019","16"
"07/18/2019","37"
"07/19/2019","30"
"07/20/2019","26"
"07/21/2019","18"
"07/22/2019","32"
"07/23/2019","26"
"07/24/2019","9"
"07/25/2019","12"
"07/26/2019","10"
"07/27/2019","7"
"07/28/2019","7"
"07/29/2019","18"
"07/30/2019","17"
"07/31/2019","20"
"08/01/2019","20"
"08/02/2019","21"
"08/03/2019","18"
"08/04/2019","13"
"08/05/2019","20"
"08/06/2019","20"
"08/07/2019","15"
"08/08/2019","16"
"08/09/2019","24"
"08/10/2019","18"
"08/11/2019","15"
"08/12/2019","22"
"08/13/2019","23"
"08/14/2019","19"
"08/15/2019","20"
"08/16/2019","24"
"08/17/2019","32"
"08/18/2019","44"
